id,titulo,url_pdf,caminho_local,status_download
1009,PAINEL DE SEQUENCIAMENTO DO EXOMA E DNA MITOCONDRIAL POR NGS / ATRASO DO DESENVOLVIMENTO NEUROPSICOMOTOR,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1009.pdf,output/df_tjdft/pdfs/1009.pdf,sucesso
1011,IBRUTINIBE / LEUCEMIA LINFOCÍTICA CRÔNICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1011.pdf,output/df_tjdft/pdfs/1011.pdf,sucesso
1013,ECULIZUMABE / HEMOGLOBINÚRIA PAROXÍSTICA NOTURNA CLÁSSICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1013.pdf,output/df_tjdft/pdfs/1013.pdf,sucesso
1014,RIVAROXABANA / FIBRILAÇÃO ATRIAL CRÔNICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1014.pdf,output/df_tjdft/pdfs/1014.pdf,sucesso
1015,RISDIPLAM (EVRYSDI®) / ATROFIA MUSCULAR ESPINHAL TIPO 2,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1015.pdf,output/df_tjdft/pdfs/1015.pdf,sucesso
1016,OXIGENOTERAPIA HIPERBÁRICA/ÚLCERA VENOSA DE ESTASE CRÔNICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1016.pdf,output/df_tjdft/pdfs/1016.pdf,sucesso
1017,LIRAGLUTIDA / OBESIDADE,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1017.pdf,output/df_tjdft/pdfs/1017.pdf,sucesso
1018,SIROLIMUS® / MALFORMAÇÃO VASCULAR VENO-LINFÁTICA,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1018.pdf,output/df_tjdft/pdfs/1018.pdf,sucesso
1019,Câncer de pulmão - Pembrolizumabe,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1019.pdf,output/df_tjdft/pdfs/1019.pdf,sucesso
1020,Riociguate / Hipertensão pulmonar tromboembólica crônica,https://www.tjdft.jus.br/informacoes/notas-laudos-e-pareceres/natjus-df/1020.pdf,output/df_tjdft/pdfs/1020.pdf,sucesso
